sample_id,PRIMERA_bertscore_precision,PRIMERA_bertscore_recall,PRIMERA_bertscore_f1,PEGASUS_bertscore_precision,PEGASUS_bertscore_recall,PEGASUS_bertscore_f1,BART_bertscore_precision,BART_bertscore_recall,BART_bertscore_f1,TreeSum_bertscore_precision,TreeSum_bertscore_recall,TreeSum_bertscore_f1
4641,92.70941925048828,85.9674072265625,89.21121215820312,89.4007568359375,86.89676666259766,88.13097381591797,86.99718475341797,82.30612182617188,84.586669921875,89.52057647705078,86.9764175415039,88.23016357421875
4642,88.75521087646484,85.47756958007812,87.08556365966797,88.20793914794922,85.50244903564453,86.8341293334961,86.83448028564453,83.23504638671875,84.99667358398438,85.79020690917969,84.97698211669922,85.38166046142578
4644,90.32734680175781,85.38185119628906,87.78499603271484,89.45075225830078,86.91156005859375,88.16287231445312,88.0822982788086,85.12149047851562,86.57659149169922,90.50714111328125,85.92664337158203,88.15743255615234
4645,92.94612884521484,90.54813385009766,91.7314682006836,92.80083465576172,88.45316314697266,90.5748519897461,91.21247100830078,86.83190155029297,88.96829986572266,94.12559509277344,89.74102783203125,91.88103485107422
4648,86.33488464355469,85.65274810791016,85.99246215820312,84.55496215820312,86.00361633300781,85.27313995361328,87.72511291503906,85.50901794433594,86.60289001464844,85.05136108398438,85.23890686035156,85.14502716064453
4651,89.6469955444336,87.02851867675781,88.31835174560547,89.08293151855469,88.36153411865234,88.72077178955078,90.72793579101562,86.27562713623047,88.44578552246094,91.42294311523438,89.57642364501953,90.4902572631836
4653,85.5692367553711,82.67086029052734,84.09508514404297,85.6258316040039,83.63812255859375,84.62030029296875,87.13615417480469,83.86956787109375,85.4716567993164,85.49340057373047,84.03837585449219,84.7596435546875
4655,83.71892547607422,81.4176025390625,82.5522232055664,81.72679138183594,81.5271987915039,81.62686920166016,81.73851013183594,79.43861389160156,80.57215881347656,86.44407653808594,85.26821899414062,85.85211944580078
4663,89.11820983886719,86.4089126586914,87.7426528930664,89.53902435302734,87.25333404541016,88.38140106201172,86.60713195800781,84.72290802001953,85.65465545654297,90.14640045166016,87.82469177246094,88.97039794921875
4664,87.8592529296875,85.98402404785156,86.9115219116211,84.84580993652344,86.60089874267578,85.7143783569336,84.93487548828125,84.14678955078125,84.53899383544922,83.84606170654297,85.02424621582031,84.43103790283203
4667,89.26969146728516,83.99126434326172,86.55007934570312,87.75839233398438,85.57279968261719,86.65181732177734,87.55445861816406,82.44972229003906,84.92544555664062,88.98584747314453,86.0650405883789,87.5010757446289
4669,88.76487731933594,86.24979400634766,87.48926544189453,88.44886779785156,86.93612670898438,87.68596649169922,88.16964721679688,84.08934020996094,86.08116149902344,89.06085205078125,86.64942169189453,87.83859252929688
4670,85.12853240966797,87.00599670410156,86.0570297241211,86.58326721191406,90.70989990234375,88.59856414794922,86.17212677001953,87.77247619628906,86.9649429321289,89.74116516113281,89.00567626953125,89.37191009521484
4671,88.15177917480469,84.66423797607422,86.3728256225586,90.12876892089844,88.60186767578125,89.35879516601562,88.96041107177734,83.66370391845703,86.23078918457031,89.96784973144531,88.43179321289062,89.19320678710938
4672,86.46339416503906,85.11585235595703,85.7843246459961,92.82878875732422,89.505126953125,91.13666534423828,77.33396911621094,81.09356689453125,79.16915130615234,89.75341033935547,90.07545471191406,89.91414642333984
4673,83.97803497314453,80.47342681884766,82.18839263916016,80.28368377685547,80.88050842285156,80.58099365234375,81.20979309082031,78.98294830322266,80.08088684082031,83.43907928466797,79.34771728515625,81.34199523925781
4675,93.21051025390625,89.35943603515625,91.24435424804688,88.08311462402344,90.1127700805664,89.08638000488281,89.9182357788086,87.28955078125,88.58439636230469,88.81586456298828,91.5334701538086,90.1541976928711
4678,88.79661560058594,85.1191177368164,86.91898345947266,88.94827270507812,87.0468521118164,87.98728942871094,89.05850982666016,83.8367919921875,86.3687973022461,90.11107635498047,88.89554595947266,89.49918365478516
4679,90.68001556396484,86.3774185180664,88.4764404296875,90.58528137207031,87.70658111572266,89.12268829345703,85.61023712158203,83.40043640136719,84.49089050292969,89.98294830322266,87.39283752441406,88.66898345947266
4680,88.12445068359375,86.19220733642578,87.14762115478516,91.77926635742188,88.4691390991211,90.09381103515625,87.79006958007812,83.52948760986328,85.60679626464844,86.96878051757812,85.35062408447266,86.152099609375
4682,87.6099853515625,84.84010314941406,86.20279693603516,87.417236328125,85.72857666015625,86.56466674804688,85.67729949951172,83.42882537841797,84.5381088256836,85.85535430908203,86.0167007446289,85.93595886230469
4686,95.58173370361328,87.8053970336914,91.5286865234375,89.43406677246094,89.67765808105469,89.55569458007812,90.58032989501953,85.91445922851562,88.18572235107422,85.89208984375,84.15703582763672,85.01571655273438
4689,89.83368682861328,87.40721893310547,88.60384368896484,87.70625305175781,88.60855102539062,88.15509796142578,87.14111328125,85.5992431640625,86.36329650878906,89.28456115722656,88.04566192626953,88.66078186035156
